#物品表配置信息																				
#物品id	物品图标	物品名字	物品类型(2物品，3英雄，5装备碎片)	物品类型名称（1.英雄整卡（ID和roledetail表对应）；2、英雄碎片；3相框；4、宝石；5概括显示未知装备）	物品介绍	限制等级（0表示不限制等级）	物品品质（1白、2绿、3蓝、4紫、5橙、6橙1、 7橙2、 8橙3）	物品类型（1.英雄整卡；2、英雄碎片；3、英雄经验丹；4、强化石;5、星座激活材料；6、碎片；7、金币；8、装备；9、体力丹；10、宝箱；11、钻石；12扫荡券；13决斗币；14竞技币；15龙币；16积分币；17VIP；18书页；19精炼石；20突破石；21装备碎片；22相框激活物品；23力量宝石；24敏捷宝石；25智力宝石；26体质宝石；27专注宝石）28风之技能材料、29木之技能材料、30雷之技能材料、31冰之技能材料、32火之技能材料、33VIP经验卡 34概括显示性物品 35 队伍经验卡）	物品效果（对应物品类型起作用:1、整卡使用后转化成对应英雄碎片数量；3、经验值；4、强化经验值；5、星座相对位置ID；7、使用后获得对应的金币数量；8装备；9、使用后获得对应数量的体力；10、对应宝箱子表的宝箱ID；11、对应的钻石数量；12激活相应书籍；13激活相应相框	合成后的物品ID	合成所需的碎片数量	合成所需费用	出售价格（金币）	最大叠加数	是否可使用（1、可使用；0、不可使用）	是否获得自动使用（0表示不自动使用；1表示自动使用）	套装类别(装备碎片特有)	是否可出售（1是、2否）	获得后是否归公会统一分配（0，表示不分配，1表示归公会分配）	是否显示在公会副本展示中（0不显示，1显示）
int	string	string	int	string	string	int	int	int	int	int	int	int	float	int	int	int	int	int	int	int
15	touxiang-tieshan	红叶舞娘	3	英雄整卡	使用获得红叶舞娘	0	5	1	30				500	1	0	1			1	
16	touxiang-gongjianshou	小叶子	3	英雄整卡	使用获得小叶子	0	5	1	30				500	1	0	1			1	
17	touxiang-sakula	撒古拉酱	3	英雄整卡	使用获得撒古拉酱	0	5	1	30				500	1	0	1			1	
18	touxiang-kelaode	德劳克	3	英雄整卡	使用获得德劳克	0	5	1	15				500	1	0	1			1	
19	touxiang-dashu	0号斯巴达	3	英雄整卡	使用获得0号斯巴达	0	5	1	30				500	1	0	1			1	
#20	touxiang-dashu	FFF团	3	英雄整卡	使用获得撒古拉酱	0	5	1	30				500	1	0	1			1	
21	touxiang-dashu	鸟人	3	英雄整卡	使用获得撒古拉酱	0	5	1	15				500	1	0	1			1	
22	touxiang_shenghuanv	LS-南	3	英雄整卡	使用获得LS-南	0	5	1	15				500	1	0	1			1	
23	touxiang_shenghuanv	LS-南	3	英雄整卡	使用获得LS-南	0	5	1	15				500	1	0	1			1	
24	touxiang_shenghuanv	LS-南	3	英雄整卡	使用获得LS-南	0	5	1	15				500	1	0	1			1	
1003	touxiang-heiyan	山石姬聚魂石	2	英雄碎片	山石姬升星的必须材料	0	5	2					500	99999	1	0			1	
1004	touxiang-lvjuren	肌肉蓝聚魂石	2	英雄碎片	鸡肉蓝升星的必须材料	0	5	2					500	99999	1	0			1	
1005	touxiang-sishen	死神聚魂石	2	英雄碎片	死神升星的必须材料	0	5	2					500	99999	1	0			1	
#1006	touxiang-caotijing	技术草聚魂石	2	英雄碎片	技术草升星的必须材料	0	5	2					500	99999	1	0			1	
#1007	touxiang-zuozhu	佐小弟聚魂石	2	英雄碎片	佐小弟升星的必须材料	0	5	2					500	99999	1	0			1	
#1008	touxiang-lufei	吃货一郎聚魂石	2	英雄碎片	吃货一郎升星的必须材料	0	5	2					500	99999	1	0			1	
1009	touxiang-amumu	僵sir聚魂石	2	英雄碎片	僵sir升星的必须材料	0	5	2					500	99999	1	0			1	
1010	touxiang-mianhuatang	糯米团子聚魂石	2	英雄碎片	糯米团子升星的必须材料	0	5	2					500	99999	1	0			1	
1011	touxiang-jinganglang	暴走战狼聚魂石	2	英雄碎片	暴走战狼升星的必须材料	0	5	2					500	99999	1	0			1	
1012	touxiang-jiqiren	晴天硬汉聚魂石	2	英雄碎片	晴天硬汉升星的必须材料	0	5	2					500	99999	1	0			1	
1013	touxiang-xiongmao	胖哒聚魂石	2	英雄碎片	胖哒升星的必须材料	0	5	2					500	99999	1	0			1	
1014	touxiang-paojie	炮姐聚魂石	2	英雄碎片	炮姐升星的必须材料	0	5	2					500	99999	1	0			1	
1015	touxiang-tieshan	红叶舞娘聚魂石	2	英雄碎片	红叶舞娘升星的必须材料	0	5	2					500	99999	1	0			1	
1016	touxiang-gongjianshou	小叶子聚魂石	2	英雄碎片	小叶子升星的必须材料	0	5	2					500	99999	1	0			1	
1017	touxiang-sakula	撒古拉酱聚魂石	2	英雄碎片	撒古拉酱升星的必须材料	0	5	2					500	99999	1	0			1	
1018	touxiang-kelaode	德劳克聚魂石	2	英雄碎片	德劳克升星的必须材料	0	5	2					500	99999	1	0			1	
1019	touxiang-dashu	0号斯巴达聚魂石	2	英雄碎片	0号斯巴达升星的必须材料	0	5	2					500	99999	1	0			1	
#1020	touxiang-dashu	FFF聚魂石	2	英雄碎片	撒古拉酱升星的必须材料	0	5	2					500	99999	1	0			1	
1021	touxiang-dashu	鸟人聚魂石	2	英雄碎片	撒古拉酱升星的必须材料	0	5	2					500	99999	1	0			1	
1022	touxiang_shenghuanv	LS-南聚魂石	2	英雄碎片	LS-南升星的必须材料	0	5	2					500	999	1	0			1	
1023	touxiang_shenghuanv	兽女聚魂石	2	英雄碎片	LS-南升星的必须材料	0	5	2					500	999	1	0			1	
1024	touxiang_shenghuanv	冰魔法师聚魂石	2	英雄碎片	LS-南升星的必须材料	0	5	2					500	999	1	0			1	
2001	jingyan1	初级经验药水	2	经验丹	可以使英雄获得100点经验，请在升级界面使用我哦	0	2	3	100				100	99999	1	0			1	
2002	jingyan2	中级经验卡	2	经验丹	可以使英雄获得500点经验，请在升级界面使用我哦	0	3	3	500				400	99999	1	0			1	
2003	jingyan3	高级经验丹	2	经验丹	可以使英雄获得1500点经验，请在升级界面使用我哦	0	4	3	1500				800	99999	1	0			1	
2004	jingyan4	顶级经验丹	2	经验丹	可以使英雄获得2500点经验，请在升级界面使用我哦	0	5	3	2500				2000	99999	1	0			1	
2101	jinbi1	5000金币	2	金币	可获得5000金币	0	1	7	5000				0	999	1	0		2	1	
2102	jinbi2	10000金币	2	金币	可获得10000金币	0	2	7	10000				0	999	1	0		2	1	
2103	jinbi3	20000金币	2	金币	可获得20000金币	0	3	7	20000				0	999	1	0		2	1	
2104	jinbi4	50000金币	2	金币	可获得50000金币	0	4	7	50000				0	999	1	0		2	1	
2105	jinbi5	100000金币	2	金币	可获得100000金币	0	5	7	100000				0	999	1	0		2	1	
2106	jinbi6	500000金币	2	金币	可获得500000金币	0	6	7	500000				0	999	1	0		2	1	
2107	jinbi1	100金币	2	金币	可获得100金币	0	1	7	100				0	999	1	0		2	1	
2108	jinbi1	1000金币	2	金币	可获得1000金币	0	1	7	1000				0	999	1	0		2	1	
2109	jinbi1	1金币	2	金币	可获得1金币	0	5	7	1				0	999	0	1		2	1	
2200	tili1	小体力药水	2	体力丹	使用获得5点体力	0	3	9	5				0	999	1	0			1	
2201	tili2	中体力药水	2	体力丹	使用获得20点体力	0	4	9	20				0	999	1	0			1	
2202	tili3	大体力药水	2	体力丹	使用获得50点体力	0	5	9	50				0	999	1	0			1	
2203	tili4	超级体力丹	2	体力丹	使用获得100点体力	0	6	9	100				0	999	1	0			1	
2204	tili1	1体力	2	体力丹	使用获得1点体力	0	3	9	5				0	999	1	0			1	
2301	zuanshi1	10钻石	2	钻石	使用获得10钻石	0	5	11	10				0	999	1	0			1	
2302	zuanshi2	50钻石	2	钻石	使用获得50钻石	0	5	11	50				0	999	1	0			1	
2303	zuanshi3	200钻石	2	钻石	使用获得200钻石	0	5	11	200				0	999	1	0			1	
2304	zuanshi4	500钻石	2	钻石	使用获得500钻石	0	5	11	500				0	999	1	0			1	
2305	zuanshi1	1钻石	2	钻石	使用获得1钻石	0	5	11	1				0	999	0	1			1	
2400	saodangquan	扫荡券	2	扫荡券	可以用于获得3星后的副本扫荡	0	4	12					100	999	0	0			1	
2501	juedoubi	小角斗币	2	角斗币	使用获得100角斗币	0	1	13	100				500	999	1	1			1	
2502	juedoubi	中角斗币	2	角斗币	使用获得1000角斗币	0	2	13	1000				500	999	1	1			1	
2503	juedoubi	大角斗币	2	角斗币	使用获得10000角斗币	0	3	13	10000				500	999	1	1			1	
2504	juedoubi	超级角斗币	2	角斗币	使用获得100000角斗币	0	4	13	100000				500	999	1	1			1	
2600	jingjidianbi	竞技币	2	竞技币	使用获得1竞技币	0	1	14	1				500	999	1	1			1	
2601	jingjidianbi	小竞技币	2	竞技币	使用获得100竞技币	0	1	14	100				500	999	1	1			1	
2602	jingjidianbi	中竞技币	2	竞技币	使用获得1000竞技币	0	2	14	1000				500	999	1	1			1	
2603	jingjidianbi	大竞技币	2	竞技币	使用获得10000竞技币	0	3	14	10000				500	999	1	1			1	
2604	jingjidianbi	超级竞技币	2	竞技币	使用获得100000竞技币	0	4	14	100000				500	999	1	1			1	
2801	jifen	小积分币	2	积分币	使用获得100积分币	0	1	16	100				500	999	1	1			1	
2802	jifen	中积分币	2	积分币	使用获得1000积分币	0	2	16	1000				500	999	1	1			1	
2803	jifen	大积分币	2	积分币	使用获得10000积分币	0	3	16	10000				500	999	1	1			1	
2804	jifen	超级积分币	2	积分币	使用获得100000积分币	0	4	16	100000				500	999	1	1			1	
2701	longbi	小龙币	2	龙币	使用获得100龙币	0	1	15	100				500	999	1	1			1	
2702	longbi	中龙币	2	龙币	使用获得1000龙币	0	2	15	1000				500	999	1	1			1	
2703	longbi	大龙币	2	龙币	使用获得10000龙币	0	3	15	10000				500	999	1	1			1	
2704	longbi	超级龙币	2	龙币	使用获得100000龙币	0	4	15	100000				500	999	1	1			1	
3000	qianghuashi	强化石	2	强化石	用于强化装备，可以获得30点强化经验	0	4	4	30				10	999999	0	0			1	
3001	chuji-stone	初级精炼石	2	精炼石	用于精炼装备	0	4	19					100	999	1	0			1	
3002	zhongji-stone	中级精炼石	2	精炼石	用于精炼装备	0	5	19					100	999	1	0			1	
3003	gaoji-stone	高级精炼石	2	精炼石	用于精炼装备	0	6	19					100	999	1	0			1	
3004	moyanhj	魔焰黑金	2	突破石	用于突破品级5的装备，使装备提升一个品级	0	4	20					100	999	1	0			1	
3005	xuanhaijs	玄海晶石	2	突破石	用于突破品级6的装备，使装备提升一个品级	0	6	20					100	999	1	0			1	
3006	xunmuhy	熏木之羽	2	突破石	用于突破品级7的装备，使装备提升一个品级	0	7	20					100	999	1	0			1	
3100	shengwang	圣王宝箱	2	宝箱	使用大概率获得品级5以上的橙色装备部件，有机会获得真火焰宝箱	0	8	10	101				0	99	1	0			1	
3102	zhenhuoyan	真火焰宝箱	2	宝箱	使用大概率获得6以上的橙色装备部件，有机会获得真黑龙宝箱	0	6	10	102				0	99	1	0			1	
3103	zhenheilong	真黑龙宝箱	2	宝箱	使用大概率获得7以上的橙色装备部件，有机会获得真冰霜宝箱	0	7	10	103				0	99	1	0			1	
3104	zhenbingxue	真冰霜宝箱	2	宝箱	使用必定获得冰霜套装部件	0	7	10	104				0	99	1	0			1	
3105	chunjie	春节相框	2	春节节日相框	使用获得春节节日相框	0		22	13			0	0	999	0	1			1	
3106	qingrenjie	情人节相框	2	情人节节日相框	使用获得情人节节日相框	0		22	13			0	0	999	0	1			1	
3201	shenshenfd	风神法典	2	合体技能材料	用于激活风属性合体技能，并且提升合体技能等级	0	1	28					0	999	0	0			1	
3202	shenshenfd	风神法典	2	合体技能材料	提升风属性合体技能等级	0	2	28					0	999	0	0			1	
3203	shenshenfd	风神法典	2	合体技能材料	提升风属性合体技能等级	0	3	28					0	999	0	0			1	
3204	shenshenfd	风神法典	2	合体技能材料	提升风属性合体技能等级	0	4	28					0	999	0	0			1	
3205	shenshenfd	风神法典	2	合体技能材料	提升风属性合体技能等级	0	5	28					0	999	0	0			1	
3206	shenshenfd	风神法典	2	合体技能材料	提升风属性合体技能等级	0	6	28					0	999	0	0			1	
3211	jumufd	巨木法典	2	合体技能材料	用于激活木属性合体技能，并且提升合体技能等级	0	1	29					0	999	0	0			1	
3212	jumufd	巨木法典	2	合体技能材料	提升木属性合体技能等级	0	2	29					0	999	0	0			1	
3213	jumufd	巨木法典	2	合体技能材料	提升木属性合体技能等级	0	3	29					0	999	0	0			1	
3214	jumufd	巨木法典	2	合体技能材料	提升木属性合体技能等级	0	4	29					0	999	0	0			1	
3215	jumufd	巨木法典	2	合体技能材料	提升木属性合体技能等级	0	5	29					0	999	0	0			1	
3216	jumufd	巨木法典	2	合体技能材料	提升木属性合体技能等级	0	6	29					0	999	0	0			1	
3221	zhousifd	宙斯法典	2	合体技能材料	用于激活雷属性合体技能，并且提升合体技能等级	0	1	30					0	999	0	0			1	
3222	zhousifd	宙斯法典	2	合体技能材料	提升雷属性合体技能等级	0	2	30					0	999	0	0			1	
3223	zhousifd	宙斯法典	2	合体技能材料	提升雷属性合体技能等级	0	3	30					0	999	0	0			1	
3224	zhousifd	宙斯法典	2	合体技能材料	提升雷属性合体技能等级	0	4	30					0	999	0	0			1	
3225	zhousifd	宙斯法典	2	合体技能材料	提升雷属性合体技能等级	0	5	30					0	999	0	0			1	
3226	zhousifd	宙斯法典	2	合体技能材料	提升雷属性合体技能等级	0	6	30					0	999	0	0			1	
3231	xueshanfd	雪山法典	2	合体技能材料	用于激活冰属性合体技能，并且提升合体技能等级	0	1	31					0	999	0	0			1	
3232	xueshanfd	雪山法典	2	合体技能材料	提升冰属性合体技能等级	0	2	31					0	999	0	0			1	
3233	xueshanfd	雪山法典	2	合体技能材料	提升冰属性合体技能等级	0	3	31					0	999	0	0			1	
3234	xueshanfd	雪山法典	2	合体技能材料	提升冰属性合体技能等级	0	4	31					0	999	0	0			1	
3235	xueshanfd	雪山法典	2	合体技能材料	提升冰属性合体技能等级	0	5	31					0	999	0	0			1	
3236	xueshanfd	雪山法典	2	合体技能材料	提升冰属性合体技能等级	0	6	31					0	999	0	0			1	
3241	huolongfd	火龙法典	2	合体技能材料	用于激活火属性合体技能，并且提升合体技能等级	0	1	32					0	999	0	0			1	
3242	huolongfd	火龙法典	2	合体技能材料	提升火属性合体技能等级	0	2	32					0	999	0	0			1	
3243	huolongfd	火龙法典	2	合体技能材料	提升火属性合体技能等级	0	3	32					0	999	0	0			1	
3244	huolongfd	火龙法典	2	合体技能材料	提升火属性合体技能等级	0	4	32					0	999	0	0			1	
3245	huolongfd	火龙法典	2	合体技能材料	提升火属性合体技能等级	0	5	32					0	999	0	0			1	
3246	huolongfd	火龙法典	2	合体技能材料	提升火属性合体技能等级	0	6	32					0	999	0	0			1	
3247	shengwang	橙装宝箱	2	宝箱	使用有几率获得橙色暗系装备	0	5	10	40000				0	99	1	0				
3248	zhenhuoyan	橙装宝箱	2	宝箱	使用有几率获得橙色衣服	0	5	10	40001				0	99	1	0				
3249	zhenheilong	橙装宝箱	2	宝箱	使用有几率获得橙色手套	0	5	10	40002				0	99	1	0				
3250	zhenbingxue	橙装宝箱	2	宝箱	使用有几率获得橙色长剑	0	5	10	40003				0	99	1	0				
4001	huiyao-baiyang	白羊辉耀	2	星座激活材料	使用可以激活白羊辉耀	0	3	5	101				100	999	0	0			1	
4002	ningju-baiyang	白羊凝聚	2	星座激活材料	使用可以激活白羊凝聚	0	3	5	102				100	999	0	0			1	
4003	guangmang-baiyang	白羊光芒	2	星座激活材料	使用可以激活白羊光芒	0	3	5	103				100	999	0	0			1	
4004	busi-baiyang	白羊不死	2	星座激活材料	使用可以激活白羊不死	0	3	5	104				100	999	0	0			1	
4005	xuanwu-baiyang	白羊旋舞	2	星座激活材料	使用可以激活白羊旋舞	0	3	5	105				100	999	0	0			1	
4006	zhixin-baiyang	白羊之心	2	星座激活材料	使用可以激活白羊之心	0	3	5	106				100	999	0	0			1	
4007	huiyao-jinniu	金牛辉耀	2	星座激活材料	使用可以激活金牛辉耀	0	3	5	201				100	999	0	0			1	
4008	ningju-jinniu	金牛凝聚	2	星座激活材料	使用可以激活金牛凝聚	0	3	5	202				100	999	0	0			1	
4009	guangmang-jinniu	金牛光芒	2	星座激活材料	使用可以激活金牛光芒	0	3	5	203				100	999	0	0			1	
4010	busi-jinniu	金牛不死	2	星座激活材料	使用可以激活金牛不死	0	3	5	204				100	999	0	0			1	
4011	xuanwu-jinniu	金牛旋舞	2	星座激活材料	使用可以激活金牛旋舞	0	3	5	205				100	999	0	0			1	
4012	zhixin-jinniu	金牛之心	2	星座激活材料	使用可以激活金牛之心	0	3	5	206				100	999	0	0			1	
4013	huiyao-shuangzi	双子辉耀	2	星座激活材料	使用可以激活双子辉耀	0	3	5	301				100	999	0	0			1	
4014	ningju-shuangzi	双子凝聚	2	星座激活材料	使用可以激活双子凝聚	0	3	5	302				100	999	0	0			1	
4015	guangmang-shuangzi	双子光芒	2	星座激活材料	使用可以激活双子光芒	0	3	5	303				100	999	0	0			1	
4016	busi-shuangzi	双子不死	2	星座激活材料	使用可以激活双子不死	0	3	5	304				100	999	0	0			1	
4017	xuanwu-shuangzi	双子旋舞	2	星座激活材料	使用可以激活双子旋舞	0	3	5	305				100	999	0	0			1	
4018	zhixin-shuangzi	双子之心	2	星座激活材料	使用可以激活双子之心	0	3	5	306				100	999	0	0			1	
4019	huiyao-juxie	巨蟹辉耀	2	星座激活材料	使用可以激活巨蟹辉耀	0	4	5	401				100	999	0	0			1	
4020	ningju-juxie	巨蟹凝聚	2	星座激活材料	使用可以激活巨蟹凝聚	0	4	5	402				100	999	0	0			1	
4021	guangmang-juxie	巨蟹光芒	2	星座激活材料	使用可以激活巨蟹光芒	0	4	5	403				100	999	0	0			1	
4022	busi-juxie	巨蟹不死	2	星座激活材料	使用可以激活巨蟹不死	0	4	5	404				100	999	0	0			1	
4023	xuanwu-juxie	巨蟹旋舞	2	星座激活材料	使用可以激活巨蟹旋舞	0	4	5	405				100	999	0	0			1	
4024	zhixin-juxie	巨蟹之心	2	星座激活材料	使用可以激活巨蟹之心	0	4	5	406				100	999	0	0			1	
4025	huiyao-shizi	狮子辉耀	2	星座激活材料	使用可以激活狮子辉耀	0	4	5	501				100	999	0	0			1	
4026	ningju-shizi	狮子凝聚	2	星座激活材料	使用可以激活狮子凝聚	0	4	5	502				100	999	0	0			1	
4027	guangmang-shizi	狮子光芒	2	星座激活材料	使用可以激活狮子光芒	0	4	5	503				100	999	0	0			1	
4028	busi-shizi	狮子不死	2	星座激活材料	使用可以激活狮子不死	0	4	5	504				100	999	0	0			1	
4029	xuanwu-shizi	狮子旋舞	2	星座激活材料	使用可以激活狮子旋舞	0	4	5	505				100	999	0	0			1	
4030	zhixin-shizi	狮子之心	2	星座激活材料	使用可以激活狮子之心	0	4	5	506				100	999	0	0			1	
4031	huiyao-chunv	处女辉耀	2	星座激活材料	使用可以激活处女辉耀	0	4	5	601				100	999	0	0			1	
4032	ningju-chunv	处女凝聚	2	星座激活材料	使用可以激活处女凝聚	0	4	5	602				100	999	0	0			1	
4033	guangmang-chunv	处女光芒	2	星座激活材料	使用可以激活处女光芒	0	4	5	603				100	999	0	0			1	
4034	busi-chunv	处女不死	2	星座激活材料	使用可以激活处女不死	0	4	5	604				100	999	0	0			1	
4035	xuanwu-chunv	处女旋舞	2	星座激活材料	使用可以激活处女旋舞	0	4	5	605				100	999	0	0			1	
4036	zhixin-chunv	处女之心	2	星座激活材料	使用可以激活处女之心	0	4	5	606				100	999	0	0			1	
4037	huiyao-tianqing	天秤辉耀	2	星座激活材料	使用可以激活天秤辉耀	0	4	5	701				100	999	0	0			1	
4038	ningju-tianping	天秤凝聚	2	星座激活材料	使用可以激活天秤凝聚	0	4	5	702				100	999	0	0			1	
4039	guangmang-tianping	天秤光芒	2	星座激活材料	使用可以激活天秤光芒	0	4	5	703				100	999	0	0			1	
4040	busi-tianping	天秤不死	2	星座激活材料	使用可以激活天秤不死	0	4	5	704				100	999	0	0			1	
4041	xuanwu-tianping	天秤旋舞	2	星座激活材料	使用可以激活天秤旋舞	0	4	5	705				100	999	0	0			1	
4042	zhixin-tianping	天秤之心	2	星座激活材料	使用可以激活天秤之心	0	4	5	706				100	999	0	0			1	
4043	huiyao-tianxie	天蝎辉耀	2	星座激活材料	使用可以激活天蝎辉耀	0	4	5	801				100	999	0	0			1	
4044	ningju-tianxie	天蝎凝聚	2	星座激活材料	使用可以激活天蝎凝聚	0	4	5	802				100	999	0	0			1	
4045	guangmang-tianxie	天蝎光芒	2	星座激活材料	使用可以激活天蝎光芒	0	4	5	803				100	999	0	0			1	
4046	busi-tianxie	天蝎不死	2	星座激活材料	使用可以激活天蝎不死	0	4	5	804				100	999	0	0			1	
4047	xuanwu-tianxie	天蝎旋舞	2	星座激活材料	使用可以激活天蝎旋舞	0	4	5	805				100	999	0	0			1	
4048	zhixin-tianxie	天蝎之心	2	星座激活材料	使用可以激活天蝎之心	0	4	5	806				100	999	0	0			1	
4049	huiyao-sheshou	射手辉耀	2	星座激活材料	使用可以激活射手辉耀	0	5	5	901				100	999	0	0			1	
4050	ningju-sheshou	射手凝聚	2	星座激活材料	使用可以激活射手凝聚	0	5	5	902				100	999	0	0			1	
4051	guangmang-sheshou	射手光芒	2	星座激活材料	使用可以激活射手光芒	0	5	5	903				100	999	0	0			1	
4052	busi-sheshou	射手不死	2	星座激活材料	使用可以激活射手不死	0	5	5	904				100	999	0	0			1	
4053	xuanwu-sheshou	射手旋舞	2	星座激活材料	使用可以激活射手旋舞	0	5	5	905				100	999	0	0			1	
4054	zhixin-sheshou	射手之心	2	星座激活材料	使用可以激活射手之心	0	5	5	906				100	999	0	0			1	
4055	huiyao-mojie	摩羯辉耀	2	星座激活材料	使用可以激活魔蝎辉耀	0	6	5	1001				100	999	0	0			1	
4056	ningju-mojie	摩羯凝聚	2	星座激活材料	使用可以激活魔蝎凝聚	0	6	5	1002				100	999	0	0			1	
4057	guangmang-mojie	摩羯光芒	2	星座激活材料	使用可以激活魔蝎光芒	0	6	5	1003				100	999	0	0			1	
4058	busi-mojie	摩羯不死	2	星座激活材料	使用可以激活魔蝎不死	0	6	5	1004				100	999	0	0			1	
4059	xuanwu-mojie	摩羯旋舞	2	星座激活材料	使用可以激活魔蝎旋舞	0	6	5	1005				100	999	0	0			1	
4060	zhixin-mojie	摩羯之心	2	星座激活材料	使用可以激活魔蝎之心	0	6	5	1006				100	999	0	0			1	
4061	huiyao-shuiping	水瓶辉耀	2	星座激活材料	使用可以激活水瓶辉耀	0	7	5	1101				100	999	0	0			1	
4062	ningju-shuiping	水瓶凝聚	2	星座激活材料	使用可以激活水瓶凝聚	0	7	5	1102				100	999	0	0			1	
4063	guangmang-shuiping	水瓶光芒	2	星座激活材料	使用可以激活水瓶光芒	0	7	5	1103				100	999	0	0			1	
4064	busi-shuiping	水瓶不死	2	星座激活材料	使用可以激活水瓶不死	0	7	5	1104				100	999	0	0			1	
4065	xuanwu-shuiping	水瓶旋舞	2	星座激活材料	使用可以激活水瓶旋舞	0	7	5	1105				100	999	0	0			1	
4066	zhixin-shuiping	水瓶之心	2	星座激活材料	使用可以激活水瓶之心	0	7	5	1106				100	999	0	0			1	
4067	huiyao-shuangyu	双鱼辉耀	2	星座激活材料	使用可以激活双鱼辉耀	0	8	5	1201				100	999	0	0			1	
4068	ningju-shuangyu	双鱼凝聚	2	星座激活材料	使用可以激活双鱼凝聚	0	8	5	1202				100	999	0	0			1	
4069	guangmang-shuangyu	双鱼光芒	2	星座激活材料	使用可以激活双鱼光芒	0	8	5	1203				100	999	0	0			1	
4070	busi-shuangyu	双鱼不死	2	星座激活材料	使用可以激活双鱼不死	0	8	5	1204				100	999	0	0			1	
4071	xuanwu-shuangyu	双鱼旋舞	2	星座激活材料	使用可以激活双鱼旋舞	0	8	5	1205				100	999	0	0			1	
4072	zhixin-shuangyu	双鱼之心	2	星座激活材料	使用可以激活双鱼之心	0	8	5	1206				100	999	0	0			1	
4101	zhihun-baiyang	白羊之魂	2	星座激活材料	使用可以激活白羊之魂	0	3	5					100	999	0	0			1	
4102	zhihun-jinniu	金牛之魂	2	星座激活材料	使用可以激活金牛之魂	0	3	5					100	999	0	0			1	
4103	zhihun-shuangzi	双子之魂	2	星座激活材料	使用可以激活双子之魂	0	3	5					100	999	0	0			1	
4104	zhihun-juxie	巨蟹之魂	2	星座激活材料	使用可以激活巨蟹之魂	0	4	5					100	999	0	0			1	
4105	zhihun-shizi	狮子之魂	2	星座激活材料	使用可以激活狮子之魂	0	4	5					100	999	0	0			1	
4106	zhihun-chunv	处女之魂	2	星座激活材料	使用可以激活处女之魂	0	4	5					100	999	0	0			1	
4107	zhihun-tianping	天秤之魂	2	星座激活材料	使用可以激活天秤之魂	0	4	5					100	999	0	0			1	
