#物品表配置信息																									
#装备id（碎片的ID+1000；）	装备图标	装备名字	物品类型(2物品，3英雄，4装备)	物品介绍	装备品质（1白、2绿、3蓝、4紫、5橙、6橙1 、7橙2、 8橙3）	装备部位（1、武器；2、衣服；3、手套；4、鞋子；5、项链；6、戒指）	装备类型（1、整装；2、碎片）	套装类别(0、无；1、力；2、体；3、敏；4、智；5、专)	装备套装类型	装备触发套装技能需求数量	合成所需的碎片ID	合成整装所需碎片数量	出售价格（金币）	属性	隐藏属性1	隐藏属性2	隐藏属性3	隐藏属性3	隐藏属性3	套装属性	最大叠加数	精炼突破后的装备ID	是否穿着后绑定英雄（格式：0表示不绑定；1表示绑定）	获得后是否归公会统一分配（0，表示不分配，1表示归公会分配）	是否显示在公会副本展示中（0不显示，1显示）
int	string	string	int	string	int	int	int	int	int	int	int	int	float	int	int	int	int	int	int	int	int	int	int	int	int
10094	xz10-icon	幻·雷纹靴	4	这是一双带着敏角标的鞋	6	4	1	3	8	5			20000	34	10094	20094	30094	40094	50094	8	1	10124	1	1	
10095	xl10-icon	幻·暴风祭	4	这是一条带着敏角标的项链	6	5	1	3	8	5			20000	35	10095	20095	30095	40095	50095	8	1	10125	1	1	
10096	kz10-icon	幻·巨魔裤	4	这是一条带着敏角标的裤子	6	6	1	3	8	5			20000	36	10096	20096	30096	40096	50096	8	1	10126	1	1	
10097	wq11-icon	智·羽刃	4	这是一把带着智角标的剑	6	1	1	4	9	5			1000	31	10097	20097	30097	40097	50097	9	1	10127	1	1	
10098	yf11-icon	智·月风衣	4	这是一把带着智角标的衣服	6	2	1	4	9	5			1000	32	10098	20098	30098	40098	50098	9	1	10128	1	1	
10099	st11-icon	智·雷手套	4	这是一把带着智角标的手套	6	3	1	4	9	5			1000	33	10099	20099	30099	40099	50099	9	1	10129	1	1	
10100	xz11-icon	智·归云影	4	这是一把带着智角标的鞋	6	4	1	4	9	5			1000	34	10100	20100	30100	40100	50100	9	1	10130	1	1	
10101	xl11-icon	智·魔炎祭	4	这是一把带着智角标的项链	6	5	1	4	9	5			1000	35	10101	20101	30101	40101	50101	9	1	10131	1	1	
10102	kz11-icon	智·沧月裤	4	这是一把带着智角标的裤子	6	6	1	4	9	5			1000	36	10102	20102	30102	40102	50102	9	1	10132	1	1	
10103	wq12-icon	封·灼炎斩	4	这是一把带着专角标的剑	6	1	1	5	10	5			5000	31	10103	20103	30103	40103	50103	10	1	10133	1	1	
10104	yf12-icon	封·原力衣	4	这是一件带着专角标的衣服	6	2	1	5	10	5			5000	32	10104	20104	30104	40104	50104	10	1	10134	1	1	
10105	st12-icon	封·冰手套	4	这是一副带着专角标的手套	6	3	1	5	10	5			5000	33	10105	20105	30105	40105	50105	10	1	10135	1	1	
10106	xz12-icon	封·奥斯靴	4	这是一双带着专角标的鞋	6	4	1	5	10	5			5000	34	10106	20106	30106	40106	50106	10	1	10136	1	1	
10107	xl12-icon	封·凌月链	4	这是一条带着专角标的项链	6	5	1	5	10	5			5000	35	10107	20107	30107	40107	50107	10	1	10137	1	1	
10108	kz12-icon	封·流火裤	4	这是一条带着专角标的裤子	6	6	1	5	10	5			5000	36	10108	20108	30108	40108	50108	10	1	10138	1	1	
10109	wq8-icon	力·狂徒斩 	4	这是一把带着力角标的长剑	7	1	1	1	11	5			10000	37	10109	20109	30109	40109	50109	11	1	10139	1	1	
10110	yf8-icon	力·隐魔衣	4	这是一件带着力角标的衣服	7	2	1	1	11	5			10000	38	10110	20110	30110	40110	50110	11	1	10140	1	1	
10111	st8-icon	力·劲手套	4	这是一副带着力角标的手套	7	3	1	1	11	5			10000	39	10111	20111	30111	40111	50111	11	1	10141	1	1	
10112	xz8-icon	力·碎石靴	4	这是一双带着力角标的鞋	7	4	1	1	11	5			10000	40	10112	20112	30112	40112	50112	11	1	10142	1	1	
10113	xl8-icon	力·破玉祭	4	这是一条带着力角标的项链	7	5	1	1	11	5			10000	41	10113	20113	30113	40113	50113	11	1	10143	1	1	
10114	kz8-icon	力·伏魔裤	4	这是一条带着力角标的裤子	7	6	1	1	11	5			10000	42	10114	20114	30114	40114	50114	11	1	10144	1	1	
10115	wq9-icon	术·连环斩	4	这是一把带着体角标的剑	7	1	1	2	12	5			20000	37	10115	20115	30115	40115	50115	12	1	10145	1	1	
10116	yf9-icon	术·擎天甲	4	这是一件带着体角标的衣服	7	2	1	2	12	5			20000	38	10116	20116	30116	40116	50116	12	1	10146	1	1	
10117	st9-icon	术·御手套	4	这是一副带着体角标的手套	7	3	1	2	12	5			20000	39	10117	20117	30117	40117	50117	12	1	10147	1	1	
10118	xz9-icon	术·天刹靴	4	这是一双带着体角标的鞋	7	4	1	2	12	5			20000	40	10118	20118	30118	40118	50118	12	1	10148	1	1	
10119	xl9-icon	术·血弑链	4	这是一条带着体角标的项链	7	5	1	2	12	5			20000	41	10119	20119	30119	40119	50119	12	1	10149	1	1	
10120	kz9-icon	术·傀儡裤	4	这是一条带着体角标的裤子	7	6	1	2	12	5			20000	42	10120	20120	30120	40120	50120	12	1	10150	1	1	
10121	wq10-icon	幻·离魂刃	4	这是一把带着敏角标的剑	7	1	1	3	13	5			1000	37	10121	20121	30121	40121	50121	13	1	10151	1	1	
10122	yf10-icon	幻·电霜衣	4	这是一件带着敏角标的衣服	7	2	1	3	13	5			1000	38	10122	20122	30122	40122	50122	13	1	10152	1	1	
10123	st10-icon	幻·离手套	4	这是一副带着敏角标的手套	7	3	1	3	13	5			1000	39	10123	20123	30123	40123	50123	13	1	10153	1	1	
10124	xz10-icon	幻·神炎靴	4	这是一双带着敏角标的鞋	7	4	1	3	13	5			1000	40	10124	20124	30124	40124	50124	13	1	10154	1	1	
10125	xl10-icon	幻·冰焰祭	4	这是一条带着敏角标的项链	7	5	1	3	13	5			1000	41	10125	20125	30125	40125	50125	13	1	10155	1	1	
10126	kz10-icon	幻·苍泪裤	4	这是一条带着敏角标的裤子	7	6	1	3	13	5			1000	42	10126	20126	30126	40126	50126	13	1	10156	1	1	
10127	wq11-icon	智·无形刃	4	这是一把带着智角标的剑	7	1	1	4	14	5			5000	37	10127	20127	30127	40127	50127	14	1	10157	1	1	
10128	yf11-icon	智·天羽衣	4	这是一把带着智角标的衣服	7	2	1	4	14	5			5000	38	10128	20128	30128	40128	50128	14	1	10158	1	1	
10129	st11-icon	智·玄手套	4	这是一把带着智角标的手套	7	3	1	4	14	5			5000	39	10129	20129	30129	40129	50129	14	1	10159	1	1	
10130	xz11-icon	智·逍遥影	4	这是一把带着智角标的鞋	7	4	1	4	14	5			5000	40	10130	20130	30130	40130	50130	14	1	10160	1	1	
10131	xl11-icon	智·百变祭	4	这是一把带着智角标的项链	7	5	1	4	14	5			5000	41	10131	20131	30131	40131	50131	14	1	10161	1	1	
10132	kz11-icon	智·穿云裤	4	这是一把带着智角标的裤子	7	6	1	4	14	5			5000	42	10132	20132	30132	40132	50132	14	1	10162	1	1	
10133	wq12-icon	封·怒斩	4	这是一把带着专角标的剑	7	1	1	5	15	5			10000	37	10133	20133	30133	40133	50133	15	1	10163	1	1	
10134	yf12-icon	封·雅羽衣	4	这是一件带着专角标的衣服	7	2	1	5	15	5			10000	38	10134	20134	30134	40134	50134	15	1	10164	1	1	
10135	st12-icon	封·龙手套	4	这是一副带着专角标的手套	7	3	1	5	15	5			10000	39	10135	20135	30135	40135	50135	15	1	10165	1	1	
10136	xz12-icon	封·狼牙靴	4	这是一双带着专角标的鞋	7	4	1	5	15	5			10000	40	10136	20136	30136	40136	50136	15	1	10166	1	1	
10137	xl12-icon	封·七星链	4	这是一条带着专角标的项链	7	5	1	5	15	5			10000	41	10137	20137	30137	40137	50137	15	1	10167	1	1	
10138	kz12-icon	封·逸尘裤	4	这是一条带着专角标的裤子	7	6	1	5	15	5			10000	42	10138	20138	30138	40138	50138	15	1	10168	1	1	
10139	wq8-icon	力·裂风斩	4	这是一把带着力角标的长剑	8	1	1	1	16	5			20000	43	10139	20139	30139	40139	50139	16	1		1	1	
10140	yf8-icon	力·御神衣	4	这是一件带着力角标的衣服	8	2	1	1	16	5			20000	44	10140	20140	30140	40140	50140	16	1		1	1	
10141	st8-icon	力·迅手套	4	这是一副带着力角标的手套	8	3	1	1	16	5			20000	45	10141	20141	30141	40141	50141	16	1		1	1	
10142	xz8-icon	力·雷霆靴	4	这是一双带着力角标的鞋	8	4	1	1	16	5			20000	46	10142	20142	30142	40142	50142	16	1		1	1	
10143	xl8-icon	力·圣魔祭	4	这是一条带着力角标的项链	8	5	1	1	16	5			20000	47	10143	20143	30143	40143	50143	16	1		1	1	
10144	kz8-icon	力·龙牙裤	4	这是一条带着力角标的裤子	8	6	1	1	16	5			20000	48	10144	20144	30144	40144	50144	16	1		1	1	
10145	wq9-icon	术·战神斩 	4	这是一把带着体角标的剑	8	1	1	2	17	5			1000	43	10145	20145	30145	40145	50145	17	1		1	1	
10146	yf9-icon	术·启天甲	4	这是一件带着体角标的衣服	8	2	1	2	17	5			1000	44	10146	20146	30146	40146	50146	17	1		1	1	
10147	st9-icon	术·真手套	4	这是一副带着体角标的手套	8	3	1	2	17	5			1000	45	10147	20147	30147	40147	50147	17	1		1	1	
10148	xz9-icon	术·圣战靴	4	这是一双带着体角标的鞋	8	4	1	2	17	5			1000	46	10148	20148	30148	40148	50148	17	1		1	1	
10149	xl9-icon	术·赤月链	4	这是一条带着体角标的项链	8	5	1	2	17	5			1000	47	10149	20149	30149	40149	50149	17	1		1	1	
10150	kz9-icon	术·梵天裤	4	这是一条带着体角标的裤子	8	6	1	2	17	5			1000	48	10150	20150	30150	40150	50150	17	1		1	1	
10151	wq10-icon	幻·开天刃	4	这是一把带着敏角标的剑	8	1	1	3	18	5			5000	43	10151	20151	30151	40151	50151	18	1		1	1	
10152	yf10-icon	幻·玄冰衣	4	这是一件带着敏角标的衣服	8	2	1	3	18	5			5000	44	10152	20152	30152	40152	50152	18	1		1	1	
10153	st10-icon	幻·月手套	4	这是一副带着敏角标的手套	8	3	1	3	18	5			5000	45	10153	20153	30153	40153	50153	18	1		1	1	
10154	xz10-icon	幻·惊雷靴	4	这是一双带着敏角标的鞋	8	4	1	3	18	5			5000	46	10154	20154	30154	40154	50154	18	1		1	1	
10155	xl10-icon	幻·古月祭	4	这是一条带着敏角标的项链	8	5	1	3	18	5			5000	47	10155	20155	30155	40155	50155	18	1		1	1	
10156	kz10-icon	幻·紫鸦裤	4	这是一条带着敏角标的裤子	8	6	1	3	18	5			5000	48	10156	20156	30156	40156	50156	18	1		1	1	
10157	wq11-icon	智·龙纹刃	4	这是一把带着智角标的剑	8	1	1	4	19	5			10000	43	10157	20157	30157	40157	50157	19	1		1	1	
10158	yf11-icon	智·万皇衣	4	这是一把带着智角标的衣服	8	2	1	4	19	5			10000	44	10158	20158	30158	40158	50158	19	1		1	1	
10159	st11-icon	智·天手套	4	这是一把带着智角标的手套	8	3	1	4	19	5			10000	45	10159	20159	30159	40159	50159	19	1		1	1	
10160	xz11-icon	智·真魂影	4	这是一把带着智角标的鞋	8	4	1	4	19	5			10000	46	10160	20160	30160	40160	50160	19	1		1	1	
10161	xl11-icon	智·玄天祭	4	这是一把带着智角标的项链	8	5	1	4	19	5			10000	47	10161	20161	30161	40161	50161	19	1		1	1	
10162	kz11-icon	智·幽灵裤	4	这是一把带着智角标的裤子	8	6	1	4	19	5			10000	48	10162	20162	30162	40162	50162	19	1		1	1	
10163	wq12-icon	封·落日斩	4	这是一把带着专角标的剑	8	1	1	5	20	5			20000	43	10163	20163	30163	40163	50163	20	1		1	1	
10164	yf12-icon	封·秘境衣	4	这是一件带着专角标的衣服	8	2	1	5	20	5			20000	44	10164	20164	30164	40164	50164	20	1		1	1	
10165	st12-icon	封·赤手套	4	这是一副带着专角标的手套	8	3	1	5	20	5			20000	45	10165	20165	30165	40165	50165	20	1		1	1	
10166	xz12-icon	封·狮吼靴	4	这是一双带着专角标的鞋	8	4	1	5	20	5			20000	46	10166	20166	30166	40166	50166	20	1		1	1	
10167	xl12-icon	封·紫月链	4	这是一条带着专角标的项链	8	5	1	5	20	5			20000	47	10167	20167	30167	40167	50167	20	1		1	1	
10168	kz12-icon	封·雪魂裤	4	这是一条带着专角标的裤子	8	6	1	5	20	5			20000	48	10168	20168	30168	40168	50168	20	1		1	1	
